case,model,order,nMom,L1,Linf,runtime_s,iterations,converged
CrossingBeams,HFPn,12,12,2.14312522631863,12.8731035351689,0.0003279,0,1
Gauss,HFPn,14,14,0.00241535074003187,0.00610899573232904,0.0003525,0,1
Heaviside,HFPn,14,14,0.0498161848492892,0.526739274635345,0.0003818,0,1
CrossingBeams,HFPn,14,14,1.93205667561523,12.004691654281,0.0004123,0,1
Gauss,HFPn,16,16,0.00179273849480285,0.00456634288560143,0.0004368,0,1
Heaviside,HFPn,16,16,0.0431728644610553,0.525560583323151,0.0004638,0,1
CrossingBeams,HFPn,16,16,1.75236619828562,11.1735955850658,0.0004474,0,1
Gauss,HFPn,18,18,0.00138316116493459,0.00359229888752,0.0011886,0,1
Heaviside,HFPn,18,18,0.0380917762484717,0.524381894813137,0.0005648,0,1
CrossingBeams,HFPn,18,18,1.57786715475885,10.3825830645534,0.0005381,0,1
Gauss,HFPn,20,20,0.00110062466001903,0.00285062921344004,0.0005874,0,1
Heaviside,HFPn,20,20,0.0340781262810549,0.523203206502392,0.0007397,0,1
CrossingBeams,HFPn,20,20,1.42242141168962,9.63201516194615,0.0007521,0,1
Gauss,HFPn,22,22,0.000896502765299134,0.00233168634075398,0.0006294,0,1
Heaviside,HFPn,22,22,0.030828941227289,0.522024518205815,0.0005686,0,1
CrossingBeams,HFPn,22,22,1.27807711491334,8.93501620988282,0.0006213,0,1
Gauss,HFPn,24,24,0.000744745587520184,0.00192843363884965,0.0005778,0,1
Heaviside,HFPn,24,24,0.0281458273486608,0.520845829910246,0.0005664,0,1
CrossingBeams,HFPn,24,24,1.14707481640935,8.2792442692354,0.0006929,0,1
Gauss,HFPn,26,26,0.000628738881183107,0.00169008750300403,0.0006389,0,1
Heaviside,HFPn,26,26,0.0258960651442884,0.519667141614748,0.0006493,0,1
CrossingBeams,HFPn,26,26,1.02692295720597,7.67948903481353,0.0006971,0,1
Gauss,HFPn,28,28,0.000537713947829638,0.00144609838940057,0.0007315,0,1
Heaviside,HFPn,28,28,0.0239760515483033,0.518488453319256,0.0007534,0,1
CrossingBeams,HFPn,28,28,0.917553179530486,7.11882904198135,0.0006298,0,1
Gauss,HFPn,30,30,0.000465117382120962,0.00120569169479801,0.0006395,0,1
Heaviside,HFPn,30,30,0.02231526047553,0.517309765023763,0.0006543,0,1
